nct_id,tier,influence,consequence,A_influence,A_consequence,B_influence,B_consequence,E_norm
NCT06920277,moderate,1,1,1,1,0,0,0.0666666666666666
NCT03372148,high,1,3,1,3,0,1,0.1333333333333333
NCT07367841,low,0,1,0,1,0,0,0.0666666666666666
NCT06641947,low,0,1,0,1,0,0,0.2
NCT04839198,very_high,3,2,3,2,0,0,0.1333333333333333
NCT02337335,low,0,1,0,1,0,0,0.0666666666666666
NCT07243652,high,2,2,2,2,1,0,0.2666666666666666
NCT07754071,moderate,1,1,1,1,0,0,0.0
NCT07707089,moderate,2,1,2,1,0,0,0.0666666666666666
NCT05534412,moderate,2,0,2,0,1,0,0.2
NCT06634654,high,2,2,2,2,0,0,0.0666666666666666
NCT06349187,moderate,1,1,0,1,1,0,0.0666666666666666
NCT03367325,high,2,2,2,2,1,1,0.2
NCT05875480,moderate,1,2,1,2,0,0,0.2
NCT06721351,very_high,3,2,3,2,2,0,0.2
NCT06803004,very_high,3,2,3,2,0,0,0.2666666666666666
NCT06791499,low,0,0,0,0,0,0,0.2666666666666666
NCT05591443,moderate,1,1,1,1,0,1,0.0666666666666666
NCT05204966,very_high,3,2,3,2,0,0,0.0666666666666666
NCT05320185,low,0,1,0,1,0,0,0.2666666666666666
NCT05610904,very_high,3,2,3,2,0,0,0.2666666666666666
NCT03419325,high,2,2,2,2,1,0,0.2
NCT03964467,high,1,3,1,3,0,0,0.2
NCT06873399,moderate,1,2,1,2,0,0,0.0666666666666666
NCT05781152,very_high,2,3,2,3,1,0,0.2666666666666666
NCT05820347,very_high,3,2,3,2,0,0,0.1333333333333333
NCT06905340,high,2,2,1,2,2,0,0.2
NCT04390516,very_high,3,2,3,2,0,2,0.1333333333333333
NCT04643626,high,3,1,3,1,0,0,0.2
NCT06241664,very_high,2,3,2,3,0,0,0.1333333333333333
NCT05706311,moderate,2,1,2,1,1,0,0.1333333333333333
NCT03108144,high,2,2,2,2,1,0,0.2
NCT04040569,very_high,2,3,2,3,0,0,0.1333333333333333
NCT06617403,moderate,1,1,1,1,0,0,0.0666666666666666
NCT06341205,high,2,2,2,2,0,1,0.2
NCT04131530,moderate,2,1,2,1,0,0,0.0666666666666666
NCT07208734,high,2,2,2,2,0,1,0.2
NCT07116902,very_high,2,3,2,3,0,0,0.1333333333333333
NCT06158542,moderate,1,1,1,1,0,1,0.1333333333333333
NCT03766737,high,3,1,3,1,0,0,0.1333333333333333
NCT05801250,high,2,2,2,2,0,0,0.2
NCT07756398,high,1,3,1,3,0,1,0.3333333333333333
NCT07166692,moderate,2,1,2,1,1,0,0.2
NCT06862414,high,3,1,3,1,0,0,0.2
NCT02974244,low,0,1,0,1,0,1,0.1333333333333333
