idx,nct_id,adj_influence,adj_consequence
0,NCT06920277,0,0
1,NCT03372148,0,1
2,NCT07367841,2,2
3,NCT06641947,1,2
4,NCT04839198,2,1
5,NCT02337335,2,3
6,NCT07243652,0,1
7,NCT07754071,1,2
8,NCT07707089,1,0
9,NCT05534412,0,1
10,NCT06634654,1,2
11,NCT06349187,0,0
12,NCT03367325,2,3
13,NCT05875480,0,1
14,NCT06721351,2,2
15,NCT06803004,2,2
16,NCT06791499,2,2
17,NCT05591443,2,3
18,NCT05204966,1,1
19,NCT05320185,2,2
20,NCT05610904,2,3
21,NCT03419325,1,2
22,NCT03964467,0,1
23,NCT06873399,1,1
24,NCT05781152,0,1
25,NCT05820347,1,2
26,NCT06905340,2,3
27,NCT04390516,2,3
28,NCT04643626,1,1
29,NCT06241664,3,2
30,NCT05706311,1,2
31,NCT03108144,1,1
32,NCT04040569,0,3
33,NCT06617403,1,2
34,NCT06341205,2,3
35,NCT04131530,2,2
36,NCT07208734,2,1
37,NCT07116902,1,2
38,NCT06158542,1,2
39,NCT03766737,2,1
40,NCT05801250,2,1
41,NCT07756398,2,2
42,NCT07166692,1,2
43,NCT06862414,2,2
44,NCT02974244,0,2
45,NCT07462247,0,0
46,NCT06690190,0,1
47,NCT04655924,2,3
48,NCT04737369,0,2
49,NCT07690657,2,2
50,NCT06254144,0,0
51,NCT05208294,0,0
52,NCT05318495,2,2
53,NCT06649591,1,2
54,NCT06155643,2,2
55,NCT07253883,2,2
56,NCT06073314,1,2
57,NCT07179185,1,1
58,NCT05357326,1,2
59,NCT05048329,2,2
60,NCT06608420,0,1
61,NCT06585878,0,3
62,NCT07671469,2,3
63,NCT03397524,2,3
64,NCT06328790,0,1
65,NCT04754347,2,2
66,NCT07111637,2,2
67,NCT07618416,1,2
68,NCT05777187,2,3
69,NCT07459036,2,2
70,NCT03623477,0,1
71,NCT06184750,0,3
72,NCT06843499,2,2
73,NCT06969560,1,2
74,NCT02330653,0,3
75,NCT02909829,3,3
76,NCT07454967,1,2
77,NCT07424755,2,2
78,NCT03953014,0,2
79,NCT01985984,1,2
80,NCT07149142,2,2
81,NCT05558605,2,2
82,NCT07293078,2,3
83,NCT07344207,2,2
84,NCT06366906,1,2
85,NCT03524196,1,1
86,NCT06860360,1,1
87,NCT07777224,1,1
88,NCT04224298,1,2
89,NCT04343794,2,2
90,NCT05323279,2,2
91,NCT06405009,1,2
92,NCT07454057,0,1
93,NCT04875221,0,1
94,NCT07798882,2,1
95,NCT06921707,1,2
96,NCT02053051,2,3
97,NCT05838456,2,3
98,NCT05515796,1,3
99,NCT04623528,0,1
100,NCT07252700,1,1
101,NCT06710028,1,3
102,NCT03700268,2,1
103,NCT03033615,1,1
104,NCT06287892,1,2
105,NCT03398629,0,2
106,NCT03712566,0,2
107,NCT06829420,2,1
108,NCT05192161,1,3
109,NCT06770998,2,2
110,NCT01821105,0,2
111,NCT07749404,2,3
112,NCT06093217,2,3
113,NCT06411548,2,3
114,NCT04661891,3,1
115,NCT06871150,1,3
116,NCT05096624,0,1
117,NCT07682831,1,2
118,NCT03788915,1,1
119,NCT06428799,2,2
120,NCT03022786,0,1
121,NCT06420479,0,2
122,NCT07541547,1,1
123,NCT05463289,3,2
124,NCT05879250,0,3
125,NCT06859840,2,2
126,NCT07323810,1,0
127,NCT05050084,3,3
128,NCT04260256,0,2
129,NCT04582474,2,3
130,NCT07430501,1,2
131,NCT06190834,0,1
132,NCT05290038,0,2
133,NCT03655626,2,3
134,NCT04679181,1,2
135,NCT03954847,1,2
136,NCT04362657,2,2
137,NCT05219175,0,3
138,NCT04586556,2,2
139,NCT05875090,2,2
140,NCT05815979,0,0
141,NCT03414632,0,1
142,NCT07421791,2,2
143,NCT06772441,3,3
144,NCT07265154,1,1
145,NCT06935591,2,3
146,NCT04606849,2,3
147,NCT03461536,2,1
148,NCT07626229,2,3
149,NCT06621225,2,2
150,NCT07038434,1,1
151,NCT04510545,2,2
152,NCT07301086,1,2
153,NCT07269067,1,3
154,NCT07623304,2,1
155,NCT07302906,1,1
156,NCT05863208,2,2
157,NCT06178575,1,1
158,NCT07205276,2,2
159,NCT04473326,2,1
160,NCT07666074,1,3
161,NCT05210166,0,1
162,NCT07231627,2,3
163,NCT07078578,1,2
164,NCT02813564,0,1
165,NCT03958669,2,3
166,NCT07786376,1,2
167,NCT02451670,2,2
168,NCT07396792,1,2
169,NCT04993287,2,2
170,NCT05596929,2,2
171,NCT06817174,1,3
172,NCT05925764,1,3
173,NCT04828187,1,0
174,NCT05706584,0,0
175,NCT05106621,1,1
176,NCT00530478,0,3
177,NCT06603922,2,2
178,NCT04608890,1,1
179,NCT07121920,1,3
180,NCT03952494,2,3
181,NCT05041621,3,3
182,NCT05284227,2,2
183,NCT07424534,1,1
184,NCT06971471,2,2
185,NCT01454947,0,2
186,NCT06162000,1,0
187,NCT06939803,2,3
188,NCT05923684,1,1
189,NCT06782438,1,2
190,NCT05194787,1,2
191,NCT07463833,2,3
192,NCT05611151,2,2
193,NCT04847089,2,1
194,NCT01399710,1,2
195,NCT06792110,2,1
196,NCT06157515,0,1
197,NCT05135884,1,2
198,NCT06632028,2,1
199,NCT07160491,2,3
